position COMBINED_rate(cM/Mb) Genetic_Map(cM)
15010874 0.7276595840 2.1290631209
15011921 0.7434728050 2.1298249805
15012034 0.7567552782 2.1299089930
15013820 0.8846542030 2.1312605579
15024918 0.8914971326 2.1410784502
15029282 -1 2.1449689437
15042015 -1 2.1449689437
15062084 -1 2.1449689437
15231640 0.1743574975 2.1449689437
15235274 0.1709176265 2.1456025589
15235303 0.1686080445 2.1456075155
15235618 0.1663343705 2.1456606270
15235788 0.1634974361 2.1456889038
15238253 0.1564294950 2.1460919250
15238287 0.1488994630 2.1460972436
15238684 0.1431069079 2.1461563567
15238968 0.1371288974 2.1461969991
15242245 0.1392390631 2.1466463705
15243070 3.1924738134 2.1467612427
15245262 3.8744446603 2.1537591453
15250393 2.1256389599 2.1736389209
15251440 1.9987504029 2.1758644648
15257135 1.6764223769 2.1872473484
15258039 1.5829421403 2.1887628342
15258423 0.5042536399 2.1893706840
15268577 0.5084612614 2.1944908755
15268900 0.5131954798 2.1946551084
15270125 0.5158189620 2.1952837729
15270296 0.5167148867 2.1953719780
15270307 0.5155704317 2.1953776618
15270816 0.5165318432 2.1956400872
15273449 0.5213411448 2.1970001155
15274090 0.5257647004 2.1973342952
15274264 0.5319052866 2.1974257782
15276164 0.5697869814 2.1984363983
15276210 0.6026675092 2.1984626085
15276762 0.6232498887 2.1987952810
15276882 0.6414545526 2.1988700709
15280134 0.7170777478 2.2009560811
15282425 0.7717842956 2.2025989063
15285893 0.9686409902 2.2052754542
15291574 1.1363593526 2.2107783037
15291828 1.2931047088 2.2110669389
15295998 3.4817183041 2.2164591856
15298335 2.4853280269 2.2245959613
15298847 1.8358252336 2.2258684492
15298867 0.1015480367 2.2259051657
15318376 0.1023668000 2.2278862664
15332978 0.1390407883 2.2293810264
15333120 0.1657732943 2.2294007702
15337305 0.1797871953 2.2300945314
15343545 0.2051593742 2.2312164035
15346809 0.2204967666 2.2318860437
15348466 0.2231185904 2.2322514068
15350900 0.2245622352 2.2327944775
15353226 0.2243019332 2.2333168092
15363606 0.2248701343 2.2356450633
15369290 0.2245855851 2.2369232252
15370420 0.2242931970 2.2371770069
15370526 0.2240260167 2.2372007819
15410710 0.2246539392 2.2462030434
15410792 0.2786655263 2.2462214650
15412698 0.6070030743 2.2467526015
15429825 0.8443605285 2.2571487432
15429907 1.0712608751 2.2572179807
15430088 1.2558781707 2.2574118790
15434027 1.2552257061 2.2623587831
15434720 1.5047962923 2.2632286545
15436022 1.7501573230 2.2651878993
15437138 1.9236703048 2.2671410748
15437597 2.1824341234 2.2680240395
15443359 2.8259244942 2.2805992249
15445079 3.5216768573 2.2854598150
15446732 8.7820126371 2.2912811469
15447504 9.0356564462 2.2980608606
15448748 8.9638318801 2.3093012173
15450109 8.8367412262 2.3215009925
15451043 5.1555179762 2.3297545088
15452483 3.4039677429 2.3371784546
15453066 2.2180989431 2.3391629678
15455353 2.2165153306 2.3442357601
15460378 2.3150514862 2.3553737497
15464609 0.7596942153 2.3651687325
15464762 0.5035869597 2.3652849657
15467656 0.5226090365 2.3667423464
15467705 0.5434079102 2.3667679542
15469639 9.8245307064 2.3678189051
15470474 9.8245307064 2.3760223883
15474749 0.6398794642 2.4180222570
15476707 0.6413819925 2.4192751410
15476864 0.6414900352 2.4193758380
15477416 0.6450497566 2.4197299405
15479107 0.6588489394 2.4208207196
15480497 0.6076896623 2.4217365197
15480911 0.4651352904 2.4219881032
15481987 0.3998927372 2.4224885887
15482604 0.3507484075 2.4227353226
15483078 0.3095472552 2.4229015773
15483717 0.2975758724 2.4230993780
15485666 0.2957014838 2.4236793534
15486294 0.2907673477 2.4238650539
15487266 0.2901423325 2.4241476798
15487330 0.2201090570 2.4241662489
15488619 0.2191700439 2.4244499695
15489150 0.1360304804 2.4245663488
15492280 0.1012518219 2.4249921242
15492342 0.0675620166 2.4249984018
15496233 0.0675620166 2.4252612856
15501886 0.0671753236 2.4256432137
15503478 0.0671682378 2.4257501568
15510409 0.0672330624 2.4262156998
15516658 0.0672413535 2.4266358392
15519227 0.0672413535 2.4268085823
15520023 0.0672494454 2.4268621064
15529033 0.0708338168 2.4274680239
15529300 0.0756381681 2.4274869365
15532611 0.2238920369 2.4277373745
15534984 1.1729311501 2.4282686703
15534992 1.9419766862 2.4282780537
15535383 2.0356151615 2.4290373666
15541286 2.4588960340 2.4410536029
15544372 1.9654828634 2.4486417561
15544478 1.5021667295 2.4488500973
15544773 1.2594389362 2.4492932365
15549522 1.1262541332 2.4552743120
15551377 1.1172629293 2.4573635134
15553913 1.1144176850 2.4601968922
15555288 1.1079992276 2.4617292165
15557075 1.1046473202 2.4637092111
15557470 1.1068277264 2.4641455468
15557794 1.1065699156 2.4645041590
15557906 1.1044914931 2.4646280948
15558015 1.1074785168 2.4647484844
15558213 1.3079756955 2.4649677651
15558230 1.6177511850 2.4649900007
15558332 2.3737770602 2.4651550113
15558586 3.6889672480 2.4657579507
15560510 5.2201510904 2.4728555237
15563103 5.2201107962 2.4863913755
15567276 5.2201436305 2.5081748978
15567577 5.2199044454 2.5097461611
15567689 5.1980442478 2.5103307904
15567719 5.1769477092 2.5104867317
15568058 5.1621749571 2.5122417170
15569132 5.1617052225 2.5177858929
15569194 5.1615343663 2.5181059186
15569718 5.1615343663 2.5208105626
15570111 5.1598049838 2.5228390456
15570730 5.1556209654 2.5260329649
15572143 4.9730971103 2.5333178573
15575268 1.0984869086 2.5488587858
15575679 0.6337675411 2.5493102639
15575867 0.8690569741 2.5494294122
15576300 0.2340864258 2.5498057139
15578998 0.2338255273 2.5504372790
15580597 0.2339092819 2.5508111661
15582602 0.2153913760 2.5512801542
15583103 0.2056580809 2.5513880653
15586030 0.2066776757 2.5519900265
15586496 0.2082220685 2.5520863383
15590318 0.2082716038 2.5528821630
15591075 0.2094002924 2.5530398246
15591341 0.2108525064 2.5530955251
15591440 0.2108822548 2.5531163995
15591973 0.2123741496 2.5532287997
15592113 0.2150427919 2.5532585321
15592553 0.2174862936 2.5533531509
15592992 0.2199967542 2.5534486274
15593298 0.2215013567 2.5535159464
15594252 0.2253481797 2.5537272587
15594669 0.2256504470 2.5538212289
15595732 0.2271672996 2.5540610953
15596894 0.2290518060 2.5543250637
15597201 0.2350237609 2.5543953826
15599250 0.2444400393 2.5548769463
15599356 0.2532776837 2.5549028570
15599625 0.2626807932 2.5549709887
15600001 0.2785798809 2.5550697566
15601495 0.3350679391 2.5554859550
15601812 0.4040523691 2.5555921715
15605174 0.4101061805 2.5569505956
15605193 0.4179365175 2.5569583876
15605319 0.4311676988 2.5570110476
15605407 0.4559993592 2.5570489904
15605715 1.0620070169 2.5571894382
15605903 2.0132495522 2.5573890955
15605950 4.2082333251 2.5574837182
15607403 4.2053897944 2.5635982812
15607461 4.2017249043 2.5638421938
15607600 4.2131469034 2.5644262336
15608796 4.2133874370 2.5694651573
15609968 4.3875901039 2.5744032474
15611133 4.8711815666 2.5795147898
15611512 5.2695220606 2.5813609677
15611603 5.7715046311 2.5818404942
15611719 5.9878890909 2.5825099887
15614497 0.8625948733 2.5991443446
15618270 1.0879188409 2.6023989151
15618335 1.3560625482 2.6024696298
15618906 1.6641888977 2.6032439415
15621459 0.8143190396 2.6074926158
15623464 0.8143954803 2.6091253254
15624600 0.7532206345 2.6100504787
15624734 0.6797234459 2.6101514103
15625309 0.6668480948 2.6105422512
15625340 0.6523977414 2.6105629235
15626329 0.6524627362 2.6112081449
15634399 0.6594036514 2.6164735192
15635296 0.6648034073 2.6170650043
15635527 0.6722812937 2.6172185738
15635752 0.6834666233 2.6173698371
15636231 0.7405539471 2.6176972176
15637198 0.8233973184 2.6184133333
15637295 0.8235121177 2.6184932028
15638201 0.8510640544 2.6192393048
15638313 0.8510877894 2.6193346240
15638797 0.8510877894 2.6197465505
15638808 1.0064118784 2.6197559125
15639954 0.9258994082 2.6209092605
15640536 0.9258994082 2.6214481339
15641026 0.6545907568 2.6219018246
15642699 0.6258001974 2.6229969550
15643854 0.6239232872 2.6237197542
15644565 0.6241980449 2.6241633637
15644904 0.6248914053 2.6243749668
15645124 0.6240325774 2.6245124429
15645194 0.6236646815 2.6245561252
15646361 0.6225747503 2.6252839419
15646625 0.6208722040 2.6254483016
15646949 0.6195122338 2.6256494642
15647006 0.6192165695 2.6256847764
15647459 0.6276905848 2.6259652815
15648016 1.0380542907 2.6263149052
15648152 1.5187328089 2.6264560805
15649076 0.6310570660 2.6278593897
15650265 0.6326199178 2.6286097165
15651714 0.6350736510 2.6295263828
15651842 0.6377272916 2.6296076722
15652246 0.6434284390 2.6298653140
15653178 0.6663673154 2.6304649893
15653468 1.3170397450 2.6306582358
15653728 40.7131028654 2.6310006662
15654435 41.4372443086 2.6597848299
15655394 7.5000835630 2.6995231472
15658762 0.3708294087 2.7247834286
15660345 0.3675647861 2.7253704516
15660822 0.3674488120 2.7255457800
15661110 0.3674059147 2.7256516053
15661392 0.3675429032 2.7257552137
15661931 0.3676145912 2.7259533193
15662549 0.3681691576 2.7261805052
15663102 0.3685955037 2.7263841027
15663820 0.3694411560 2.7266487543
15664065 0.3705497366 2.7267392674
15664363 0.3712900225 2.7268496912
15664540 0.3707798206 2.7269154095
15665049 0.3696554655 2.7271041364
15665949 0.3696317797 2.7274368264
15666147 0.3699083241 2.7275100135
15666329 0.3701119117 2.7275773368
15666712 0.3701941474 2.7277190896
15668200 0.3706073145 2.7282699385
15668220 0.3709958731 2.7282773507
15668377 0.3711395341 2.7283355970
15668988 0.3714235522 2.7285623633
15669118 0.3725908426 2.7286106483
15670010 0.3781021843 2.7289429994
15670674 0.3829193849 2.7291940592
15671543 0.3854361537 2.7295268162
15673143 0.3845901897 2.7301435140
15674251 1.6210530541 2.7305696399
15674997 0.2340173412 2.7317789455
15675703 0.2360887876 2.7319441618
15675764 0.2459526238 2.7319585632
15676235 0.3295271465 2.7320744069
15676426 0.4882805455 2.7321373466
15676700 0.3406906722 2.7322711354
15676720 0.2187538609 2.7322779492
15679033 0.1946720330 2.7327839269
15680320 0.1869224331 2.7330344698
15681217 0.1805170448 2.7332021392
15681843 0.1733806744 2.7333151429
15683383 0.1706075744 2.7335821492
15683469 0.1675146523 2.7335968214
15683596 0.1660138895 2.7336180958
15684132 0.1668526374 2.7337070792
15684246 0.1692349007 2.7337261004
15684887 3.2340373982 2.7338345800
15685777 1.8292299888 2.7367128733
15686104 0.8686987291 2.7373110315
15686184 0.2992342197 2.7373805274
15687742 0.3014915474 2.7378467343
15688241 0.3045542030 2.7379971786
15689296 0.3285423931 2.7383184833
15689362 0.3563666715 2.7383401670
15689517 0.4188584785 2.7383954039
15689555 0.4946264069 2.7384113205
15689881 0.4958549424 2.7385725687
15690488 0.7254415004 2.7388735527
15690741 1.0937341714 2.7390570894
15691027 1.6979447795 2.7393698973
15692596 8.3971909118 2.7420339727
15693288 1.0043774779 2.7478448288
15693798 1.0042407179 2.7483570613
15693872 1.0048586500 2.7484313751
15694151 1.0034777092 2.7487117307
15694977 1.0027864241 2.7495406033
15695102 1.0027864241 2.7496659516
15695458 0.9993992605 2.7500229436
15695503 0.9946996395 2.7500679165
15695621 0.9885346699 2.7501852911
15696313 0.9886148094 2.7508693571
15696555 0.9876095948 2.7511086019
15697062 1.0039690023 2.7516093199
15697100 1.0343054356 2.7516474707
15697233 1.5962775107 2.7517850334
15697346 2.2691840647 2.7519654127
15698150 1.0859566382 2.7537898367
15698333 1.4315924984 2.7539885668
15698367 1.7787812119 2.7540372409
15698682 1.7749929756 2.7545975570
15699156 0.9171802289 2.7554389037
15700361 0.8502203897 2.7565441058
15701768 0.8585022533 2.7577403659
15703243 1.0730408888 2.7590066568
15703853 1.0790777999 2.7596612117
15704383 1.0758247029 2.7602331229
15704504 0.9804776621 2.7603632977
15705148 0.9764895871 2.7609947253
15706181 1.0328363019 2.7620034391
15706432 1.0332386331 2.7622626810
15706550 1.0332819843 2.7623846032
15706668 1.0272411098 2.7625065304
15706914 0.9291310440 2.7627592317
15707157 0.8036845798 2.7629850106
15707181 0.6694857041 2.7630042990
15707595 0.5949176279 2.7632814661
15707712 0.5217070807 2.7633510715
15708627 0.5156053779 2.7638284334
15709355 0.5088235658 2.7642037942
15709601 0.5020165960 2.7643289647
15710409 0.4855136602 2.7647345942
15711020 0.4672979958 2.7650312430
15711656 0.4576835375 2.7653284445
15712664 0.4246908993 2.7657897895
15712915 0.4246496651 2.7658963870
15714052 0.4217241026 2.7663792136
15718134 0.4371079570 2.7681006914
15718286 0.4370608950 2.7681671318
15718446 0.4332095446 2.7682370616
15719003 0.4253068111 2.7684783593
15719040 0.4179167663 2.7684940956
15719129 0.4132005971 2.7685312902
15720077 0.4132005971 2.7689230044
15720419 0.4126090448 2.7690643190
15720639 0.4124904120 2.7691550930
15720798 0.4118647527 2.7692206790
15720906 0.4116720595 2.7692651604
15721904 0.4116204931 2.7696760091
15722240 0.4123631431 2.7698143136
15722480 0.4146279978 2.7699132807
15723037 0.4275259930 2.7701442285
15725122 0.4818274151 2.7710356202
15726384 7.9532449111 2.7716436864
15726544 11.4550811126 2.7729162056
15727348 10.9301713762 2.7821260908
15727460 10.5413454933 2.7833502700
15732097 10.8367219756 2.8322304890
15733947 11.0284448361 2.8522784247
15751336 4.9251396634 3.0440520520
15752135 3.9315924607 3.0479872385
15767645 3.5903110351 3.1089662376
15769912 0.8712359255 3.1171054727
15773020 0.8897737580 3.1198132740
15773239 0.9130569761 3.1200081344
15773451 0.9389400796 3.1202017025
15773876 0.9571089637 3.1206007520
15774989 1.5194875604 3.1216660143
15775434 2.6195020194 3.1223421863
15775610 3.0521268522 3.1228032186
15775724 3.0740560186 3.1231511611
15775974 3.8303966949 3.1239196751
15776459 3.8970940232 3.1257774175
15776465 3.8981686471 3.1258008001
15776612 3.8982616024 3.1263738309
15776613 3.9423465407 3.1263777291
15776966 3.2005256547 3.1277693775
15777875 2.6477603745 3.1306786553
15778508 2.6231375458 3.1323546876
15778800 2.6117264156 3.1331206438
15778812 2.6061298913 3.1331519845
15779211 2.5532515874 3.1341918303
15779588 1.1869835268 3.1351544061
15781834 1.0997891950 3.1378203711
15782322 1.0998500275 3.1383570683
15782459 1.1077182834 3.1385077477
15783936 1.1153405737 3.1401438476
15784911 1.1180585153 3.1412313047
15785173 1.1161234368 3.1415242360
15785330 1.1143954558 3.1416994674
15785698 1.1179381081 3.1421095649
15786065 1.1204334671 3.1425198482
15787349 1.1428755277 3.1439584848
15787566 1.1558739630 3.1442064888
15788116 1.0909680248 3.1448422195
15788859 1.0000215261 3.1456528087
15789897 0.9864190707 3.1466908310
15789957 0.9731867644 3.1467500162
15790128 0.9633148713 3.1469164311
15790373 0.9544902030 3.1471524433
15790790 0.9458080989 3.1475504657
15791899 0.9452851365 3.1485993669
15792168 14.0016782510 3.1488536486
15792216 60.1214482668 3.1495257291
15792682 60.1214482668 3.1775423240
15792806 60.1214482668 3.1849973836
15793554 50.9738888190 3.2299682269
15793595 2.3354293598 3.2320581563
15794103 2.2169149001 3.2332445545
15794162 2.2164878153 3.2333753524
15794385 2.2149327945 3.2338696292
15794640 2.1963097605 3.2344344371
15794892 2.1944985883 3.2349879071
15795490 2.1944985883 3.2363002173
15795572 1.7518000839 3.2364801662
15795956 1.2604311318 3.2371528574
15796219 0.5761527691 3.2374843508
15797742 0.1211220446 3.2383618315
15801989 0.1205328877 3.2388762368
15806401 0.1237178045 3.2394080279
15806417 0.1254088583 3.2394100074
15807037 0.2151746784 3.2394877609
15807664 1.5739582374 3.2396226754
15808080 2.2635476164 3.2402774420
15808123 2.8662582927 3.2403747746
15808815 3.5494070873 3.2423582253
15808982 3.5475814566 3.2429509763
15809384 3.1503804342 3.2443771040
15809434 2.3651985646 3.2445346231
15809893 1.5060289228 3.2456202492
15810040 0.4941145337 3.2458416354
15810931 0.4828132795 3.2462818915
15812482 0.4828964577 3.2470307349
15813210 0.4830828649 3.2473822835
15813221 0.4837687168 3.2473875974
15813888 0.4841314704 3.2477102712
15814084 0.4841870472 3.2478051609
15814253 0.4849701635 3.2478869885
15814521 0.4862867289 3.2480169605
15814924 0.4858026942 3.2482129341
15815034 0.4869654797 3.2482663724
15816627 0.4863727899 3.2490421084
15816762 0.4804101578 3.2491077687
15816846 0.4720199848 3.2491481232
15817310 0.4492222984 3.2493671405
15817483 0.4265249344 3.2494448559
15817500 0.4027340612 3.2494521068
15817617 0.4013501092 3.2494992267
15817681 0.3739596765 3.2495249131
15818737 0.3575608841 3.2499198145
15818982 0.3571454705 3.2500074170
15820953 0.5511111066 3.2507113507
15821303 0.6519637295 3.2509042396
15821449 1.1752553978 3.2509994263
15821524 1.6350574197 3.2510875704
15821525 1.7529915876 3.2510892055
15822154 1.7973146494 3.2521918372
15822206 1.8222507860 3.2522852976
15822223 1.8497650990 3.2523162758
15822739 1.8286723204 3.2532707546
15822987 1.2314270764 3.2537242654
15823131 0.9133234103 3.2539015908
15823179 0.8065498608 3.2539454304
15823238 0.6392704387 3.2539930168
15823263 0.4768802936 3.2540089986
15823381 0.3192623857 3.2540652705
15825502 0.3154527456 3.2547424260
15825710 0.3151129377 3.2548080401
15826157 0.3135942628 3.2549488956
15826825 0.3100047797 3.2551583766
15826914 0.3067626101 3.2551859670
15826991 0.3015730424 3.2552095877
15828143 0.3011847031 3.2555569999
15828404 0.3011891512 3.2556356091
15829115 0.3016908822 3.2558497546
15830515 0.3747434525 3.2562721218
15830538 0.3747255433 3.2562807409
15831185 0.3888759011 3.2565231883
15831710 0.3804700471 3.2567273482
15831854 0.3749846614 3.2567821359
15831966 0.3751702996 3.2568241342
15832925 0.3261778349 3.2571839225
15832966 0.2794974175 3.2571972958
15834486 0.2790912992 3.2576221318
15834695 0.2743926409 3.2576804619
15834945 0.2705254185 3.2577490601
15835391 0.2700822033 3.2578697144
15842185 0.3265063322 3.2597046529
15845108 0.2646211007 3.2606590309
15845175 0.2060888466 3.2606767605
15846249 0.1915142419 3.2608981000
15846491 0.1804134650 3.2609444464
15846783 0.1803809829 3.2609971271
15846918 0.1804310915 3.2610214786
15847073 0.1743789446 3.2610494454
15847411 0.1683095091 3.2611083855
15847474 0.1628751484 3.2611189890
15847684 0.1571284754 3.2611531927
15847823 0.1572157826 3.2611750336
15849026 0.1560106328 3.2613641642
15849310 0.1550013125 3.2614084712
15849558 0.1542363670 3.2614469115
15850779 0.1543613473 3.2616352341
15851354 0.1547725738 3.2617239919
15851369 0.1550607781 3.2617263135
15852032 0.1547589466 3.2618291188
15852071 0.1547155559 3.2618351544
15852239 0.1547155559 3.2618611466
15854689 0.1546841220 3.2622401997
15854812 0.1546841220 3.2622592259
15855014 0.1551905642 3.2622904721
15855191 0.1551905642 3.2623179408
15855654 0.1546939489 3.2623897940
15855921 0.1538981843 3.2624310973
15856064 0.1537820202 3.2624531047
15868195 0.2825784767 3.2643186344
15868430 0.5961865316 3.2643850404
15868669 2.4324157417 3.2645275290
15868727 5.9878982992 3.2646686091
15869300 44.9681782312 3.2680996748
15869546 45.1347525493 3.2791618466
15869577 45.2762810917 3.2805610240
15869890 45.2773421057 3.2947325000
15870932 4.6064599040 3.3419114904
15871584 4.6052378725 3.3449149023
15872203 5.0202209333 3.3477655445
15872452 27.7533913875 3.3490155795
15872533 27.7436777501 3.3512636042
15873182 41.6373204543 3.3692692511
15873293 41.6433785495 3.3738909937
15873431 41.6433785495 3.3796377799
15873520 41.6383711964 3.3833440406
15873708 32.3924204714 3.3911720544
15873720 26.3842201579 3.3915607634
15873792 26.3051745022 3.3934604273
15874101 26.1922007413 3.4015887262
15874547 2.0667620940 3.4132704477
15875145 2.0354240807 3.4145063715
15879890 1.0904418390 3.4241644587
15880036 0.5807886934 3.4243236632
15880417 0.5153539544 3.4245449437
15881980 0.5176385293 3.4253504420
15882191 0.5232887107 3.4254596637
15884047 0.6051620147 3.4264308875
15884945 0.7057151779 3.4269743230
15893703 0.6697230465 3.4331549766
15894372 0.6551522086 3.4336030213
15897298 0.5932460822 3.4355199966
15899579 0.4210255351 3.4368731910
15900850 0.4058551313 3.4374083144
15902807 0.2073708354 3.4382025729
15903190 0.2073463510 3.4382819959
15904190 1.7036457597 3.4384893423
15904203 2.8940185476 3.4385114897
15904569 0.0564599714 3.4395707005
15904728 0.0559981311 3.4395796776
15905525 0.0518347826 3.4396243081
15905584 0.0496144763 3.4396273664
15905610 0.0463974816 3.4396286563
15905970 0.0459053054 3.4396453594
15906055 0.0456660767 3.4396492614
15906489 0.0456660767 3.4396690805
15906532 0.0456660767 3.4396710441
15907063 0.0456660767 3.4396952928
15907495 0.0455457415 3.4397150205
15907847 0.0455733215 3.4397310526
15909500 0.0455973028 3.4398063853
15909583 0.0455973028 3.4398101699
15909814 0.0457855957 3.4398207029
15911732 0.0476973834 3.4399085197
15913056 0.0508589384 3.4399716710
15913396 0.0508589384 3.4399889630
15914726 0.0508589384 3.4400566054
15915124 0.0508589384 3.4400768473
15915220 0.0508589384 3.4400817297
15915520 0.0508589384 3.4400969874
15916016 0.0508589384 3.4401222135
15916145 0.0508589384 3.4401287743
15916181 0.0903065952 3.4401306052
15916470 0.0903065952 3.4401567038
15916555 0.0903065952 3.4401643798
15917530 0.0903065952 3.4402524288
15917830 0.0903065952 3.4402795208
15918439 0.1386271366 3.4403345175
15918719 0.1386271366 3.4403733331
15918808 0.1386271366 3.4403856709
15918860 0.1386271366 3.4403928795
15918980 0.1269199329 3.4404095147
15919129 0.1269199329 3.4404284258
15919544 0.1305552329 3.4404810976
15919625 0.1298504513 3.4404916726
15919678 0.1291920588 3.4404985546
15921673 0.1323806213 3.4407562928
15921858 0.1353184602 3.4407807832
15922650 0.1261124183 3.4408879554
15923048 0.1261124183 3.4409381482
15923482 0.1151710069 3.4409928810
15924834 0.1097466561 3.4411485922
15925859 0.1057780149 3.4412610825
15928971 0.1057780149 3.4415902637
15929526 0.1057780149 3.4416489705
15930418 0.1060468020 3.4417433245
15933198 0.1063168469 3.4420381346
15934915 0.6054265377 3.4422206806
15937144 0.2196038869 3.4435701763
15937308 0.1287511920 3.4436061914
15941513 0.4476103965 3.4441475901
15941913 0.5051664868 3.4443266343
15944907 0.5051664868 3.4458391028
15945013 0.5052636701 3.4458926504
15945035 0.5052973091 3.4459037662
15945932 1.0159939702 3.4463570179
15946206 1.3435684481 3.4466354002
15946504 1.3464715773 3.4470357836
15947699 1.5029424255 3.4486448172
15947807 2.0486131505 3.4488071350
15951355 31.6391241553 3.4560756144
15951604 32.2077833415 3.4639537563
15955800 35.5118659423 3.5990976152
15960394 35.5118659423 3.7622391274
15960813 35.5118659423 3.7771185992
15961838 4.7322880260 3.8135182618
15962776 4.1614511926 3.8179571480
15965441 4.1809679845 3.8290474154
15965808 4.2076185773 3.8305818306
15966471 4.2354962686 3.8333714818
15967680 4.2565161582 3.8384921967
15967975 4.2641445025 3.8397478690
15968305 4.1808521217 3.8411550367
15969209 3.0691635565 3.8449345270
15969246 2.1427578576 3.8450480861
15969297 2.1386628935 3.8451573667
15969567 1.9185474148 3.8457348057
15970744 1.9091644166 3.8479929360
15971089 1.9056180895 3.8486515977
15971823 1.8875476092 3.8500503214
15973685 1.0077684952 3.8535649351
15974886 1.0079596639 3.8547752650
15974915 1.0170795390 3.8548044959
15975070 1.1276061105 3.8549621432
15975746 1.0901219280 3.8557244049
15975915 1.0693872212 3.8559086355
15976178 1.0427116828 3.8561898844
15976229 1.0270217331 3.8562430627
15976388 1.0107625490 3.8564063591
15977297 1.4237604480 3.8573251423
15977462 1.6665097774 3.8575600627
15977768 1.6380578716 3.8580700147
15978409 1.6484509971 3.8591200098
15979170 2.1452745954 3.8603744810
15979844 2.4764703096 3.8618203961
15980497 2.4467278488 3.8634375312
15980977 1.5010708921 3.8646119606
15982839 1.1588602498 3.8674069546
15983801 1.0481021884 3.8685217782
15984471 0.9907292166 3.8692240066
15985824 0.9544697564 3.8705644633
15987894 0.9349399812 3.8725402156
15989825 0.9326036812 3.8743455847
15989839 0.9325882060 3.8743586412
15991515 0.9350026248 3.8759216590
15992744 0.9391195135 3.8770707773
15992750 0.9444808346 3.8770764120
15992815 0.9511755220 3.8771378032
15994011 0.9622791544 3.8782754092
15995213 0.9629641271 3.8794320687
15995234 0.9628109528 3.8794522909
15995372 0.9619756486 3.8795851589
15996151 0.9620750533 3.8803345379
15996217 0.9617033198 3.8803980348
15996510 0.9619208584 3.8806798139
15998142 0.9602200617 3.8822496688
15998164 0.9589861955 3.8822707936
15999076 0.9571852699 3.8831453890
15999292 0.9558491372 3.8833521410
15999716 0.9562603548 3.8837574211
16000130 0.9502420301 3.8841533128
16001704 0.9445031529 3.8856489938
16002267 0.9356746365 3.8861807491
16003408 0.9192037297 3.8872483538
16004072 0.9065154587 3.8878587051
16006236 0.7125493329 3.8898204046
16006665 0.4490182888 3.8901260882
16010378 0.3667491071 3.8917932931
16010486 0.2851792601 3.8918329020
16010647 0.2847660873 3.8918788159
16011893 0.2766490964 3.8922336344
16012202 0.2744705705 3.8923191190
16012744 0.2746847705 3.8924678821
16012885 0.2762286950 3.8925066126
16013669 0.3354425601 3.8927231759
16013785 0.4947932805 3.8927620873
16014050 1.0063781528 3.8928932075
16015858 2.0351145774 3.8947127392
16021079 0.8220239616 3.9053380724
16023546 0.8212005148 3.9073660055
16023725 0.9374746934 3.9075130004
16023843 1.0844358725 3.9076236224
16024131 1.2295315415 3.9079359399
16027862 1.3616746209 3.9125233221
16028486 1.4233516027 3.9133730071
16029774 1.3954481552 3.9152062839
16032219 1.3854868128 3.9186181547
16033955 1.3808284173 3.9210233598
16035388 1.3802535413 3.9230020869
16035898 1.3799005012 3.9237060162
16036724 1.3796237787 3.9248458140
16038006 1.3798311823 3.9266144917
16038341 1.3815479940 3.9270767352
16040556 1.3841588144 3.9301368640
16040646 1.3825079015 3.9302614383
